,"AUTHORIZED FLORIDA INSURER FINANCIAL ABSTRACTS, BY NAIC STATEMENT TYPE",CALENDAR YEAR 2016,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,COMPANY,NAIC,DOMICILE,Net Admitted Assests($),Liabilities($),Capital and Surplus($),Florida Direct Premiums Written($)
1392,PROVIDENCE WASHINGTON INS CO,24295,FOREIGN,188433818,131703991,56729827,0
1393,PUBLIC SERV INS CO,15059,FOREIGN,295096916,266832069,28264847,-24771
1394,PURE INS CO,13204,DOMESTIC,290606842,135524839,155082003,0
1395,QBE INS CORP,39217,FOREIGN,2324967879,1576023326,748944553,87150359
1396,QBE REINS CORP,10219,FOREIGN,1171085174,307491785,863593389,0
1397,QBE SPECIALTY INS CO,11515,FOREIGN,363006803,237676206,125330597,120794944
1398,RADIAN GUAR INC,33790,FOREIGN,3900132081,2550456680,1349675401,68855531
1399,RADIAN MORTGAGE ASSUR INC,30872,FOREIGN,8643468,20135,8623333,0
1400,REGENT INS CO,24449,FOREIGN,34951341,3091409,31859932,682934
1401,RELIAMAX SURETY CO,12623,FOREIGN,62683048,42591955,20091092,40230
1402,RENAISSANCE REINS US INC,10357,FOREIGN,1492763536,969423951,523339585,0
1403,REPUBLIC IND CO OF AMER,22179,FOREIGN,2300334614,1767998583,532336031,0
1404,REPUBLIC MORT ASSUR CO,32174,DOMESTIC,23313880,14363461,8950419,0
1405,REPUBLIC MORTGAGE GUAR INS CORP,31275,FOREIGN,157589985,138044947,19545038,0
1406,REPUBLIC MORTGAGE INS CO,28452,FOREIGN,652423358,601216941,51206417,10332409
1407,REPUBLIC VANGUARD INS CO,40479,FOREIGN,24893538,178542,24714996,2850224
1408,RESPONSE INS CO,43044,FOREIGN,38536857,2634134,35902723,125850
1409,RESPONSE WORLDWIDE DIRECT AUTO INS C,20133,FOREIGN,7007244,25168,6982076,0
1410,RESPONSE WORLDWIDE INS CO,26050,FOREIGN,11399707,31807,11367900,0
1411,RESPONSIVE AUTO INS CO,13131,DOMESTIC,24354626,15280072,9074554,23458881
1412,RESTORATION RRG INC,12209,FOREIGN,79109296,47755879,31353417,902821
1413,RETAILFIRST INS CO,10700,DOMESTIC,303007977,157965980,145041997,90854490
1414,RIVERPORT INS CO,36684,FOREIGN,96397135,54481469,41915666,73818
1415,RLI INS CO,13056,FOREIGN,1753351921,893375721,859976200,43219881
1416,ROCHE SURETY & CAS CO INC,42706,DOMESTIC,23988033,14503289,9484744,1182073
1417,ROCKHILL INS CO,28053,FOREIGN,155241543,66042647,89198896,81398304
1418,ROCKINGHAM CAS CO,42595,FOREIGN,30724994,1577874,29147120,808642
1419,ROCKWOOD CAS INS CO,35505,FOREIGN,248573997,161556899,87017098,23880
1420,ROMULUS INS RRG INC,15744,FOREIGN,2299241,633134,1666107,0
1421,RPX RRG INC,14135,FOREIGN,4856111,646380,4209731,0
1422,RSUI IND CO,22314,FOREIGN,3401650967,1872367789,1529283178,14499335
1423,RURAL COMM INS CO,39039,FOREIGN,1753728360,1486734277,266994083,5373586
1424,RVI AMER INS CO,23132,FOREIGN,106616031,35098060,71517971,500
1425,SAFE HARBOR INS CO,12563,DOMESTIC,78568940,51933992,26634947,69465153
1426,SAFECO INS CO OF AMER,24740,FOREIGN,4485053022,2987188549,1497864470,15813760
1427,SAFECO INS CO OF IL,39012,FOREIGN,190512493,6922215,183590279,268580627
1428,SAFECO NATL INS CO,24759,FOREIGN,15090018,405285,14684732,0
1429,SAFEPOINT INS CO,15341,DOMESTIC,138959852,89286273,49673579,116061189
1430,SAFETY FIRST INS CO,11123,FOREIGN,71737285,4100746,67636539,128055
1431,SAFETY NATL CAS CORP,15105,FOREIGN,6450443409,4637862915,1812580494,28965174
1432,SAFETY SPECIALTY INS CO,13815,FOREIGN,68959914,1328558,67631356,0
1433,SAFEWAY INS CO,12521,FOREIGN,468266012,180340499,287925513,0
1434,SAGAMORE INS CO,40460,FOREIGN,157825177,28761451,129063726,81926
1435,SAMARITAN RRG INC,12511,FOREIGN,35505059,16466163,19038896,9443506
1436,SAMSUNG FIRE & MARINE INS CO LTD,38300,FOREIGN,273793286,202252756,71540530,503649
1437,SAN FRANCISCO REINS CO,21911,FOREIGN,3539797746,2925932015,613865731,0
1438,SAVERS PROP & CAS INS CO,16551,FOREIGN,58677478,786599,57890879,148800
1439,SAWGRASS MUTUAL INS CO,13619,DOMESTIC,32579654,18762979,13816675,33187838
1440,SCOR REINS CO,30058,FOREIGN,3163123539,2060255132,1102868407,0
1441,SCOTTSDALE IND CO,15580,FOREIGN,88742686,49918406,38824280,14623195
1442,SCOTTSDALE INS CO,41297,FOREIGN,2683325113,1908044931,775280182,186822289
1443,SCRUBS MUT ASSUR CO RRG,12988,FOREIGN,12120809,9219735,2901071,164435
1444,SEABRIGHT INS CO,15563,FOREIGN,29557017,3302730,26254287,150
1445,SEAVIEW INS CO,10004,FOREIGN,23656203,10373523,13282680,0
1446,SECURIAN CAS CO,10054,FOREIGN,275760796,155660792,120100004,18025137
1447,SECURITY AMER RRG INC,11267,FOREIGN,4283864,2861551,1422313,79643
1448,SECURITY FIRST INS CO,10117,DOMESTIC,261096954,189703542,71393412,360519222
1449,SECURITY NATL INS CO,33120,DOMESTIC,111004876,75552530,35452346,218443275
1450,SECURITY NATL INS CO,19879,FOREIGN,1204877995,987716203,217161792,23946710
1451,SELECT INS CO,22233,FOREIGN,78476462,389642,78086820,0
1452,SELECTIVE INS CO OF THE SOUTHEAST,39926,FOREIGN,490749738,381701966,109047772,32122599
1453,SENECA INS CO INC,10936,FOREIGN,194129597,52902007,141227590,2477881
1454,SENECA SPECIALTY INS CO,10729,FOREIGN,51381933,880261,50501672,12028511
1455,SENTINEL INS CO LTD,11000,FOREIGN,260994596,78445420,182549176,33191131
1456,SENTRUITY CAS CO,12870,FOREIGN,192249106,144283939,47965167,14662
1457,SENTRY CAS CO,28460,FOREIGN,296164831,224387916,71776914,3437006
1458,SENTRY INS A MUT CO,24988,FOREIGN,7587291179,2863778155,4723513024,12558518
1459,SENTRY SELECT INS CO,21180,FOREIGN,706950590,475567168,231383422,42045642
1460,SERVICE INS CO,36560,DOMESTIC,49448690,7666973,41781717,26704182
1461,SEVEN SEAS INS CO INC,37672,DOMESTIC,21880703,2412701,19468002,19043275
1462,SFM MUT INS CO,11347,FOREIGN,574318631,438219515,136099116,107934
1463,SIRIUS AMER INS CO,38776,FOREIGN,1395066346,850761372,544304975,715138
1464,SOMPO JAPAN FIRE & MAR INS CO AMER,38997,FOREIGN,78503022,4523202,73979820,0
1465,SOMPO JAPAN INS CO OF AMER,11126,FOREIGN,1229521502,670786282,558735221,7535463
1466,SOUTHERN FARM BUREAU CAS INS CO,18325,FOREIGN,2161621215,874185224,1287435991,0
1467,SOUTHERN FARM BUREAU PROP,10058,FOREIGN,56351431,214970,56136461,0
1468,SOUTHERN FIDELITY INS CO INC,10136,DOMESTIC,192485326,106196409,86288917,84390396
1469,SOUTHERN FIDELITY PROP & CAS INC,14166,DOMESTIC,107612626,74352857,33259769,94668556
1470,SOUTHERN INS CO,19216,FOREIGN,38645421,9534931,29110490,1670
1471,SOUTHERN OAK INS CO,12247,DOMESTIC,115347267,61087942,54259325,91013387
1472,SOUTHERN OWNERS INS CO,10190,FOREIGN,739281579,507063532,232218047,344671872
1473,SOUTHWEST MARINE & GEN INS CO,12294,FOREIGN,119395658,57926999,61468659,14915
1474,SPARTA INS CO,20613,FOREIGN,305306120,232478408,72827712,3551
1475,SPIRIT COMMERCIAL AUTO RRG INC,14207,FOREIGN,93465156,80129607,13335549,4561415
1476,SPIRIT MOUNTAIN INS CO RRG INC,10754,FOREIGN,6602926,2866344,3736582,157420
1477,ST JOHNS INS CO INC,11844,DOMESTIC,124768381,73243891,51524490,249457778
1478,ST PAUL FIRE & MARINE INS CO,24767,FOREIGN,18558671505,13000440163,5558231343,16476577
1479,ST PAUL GUARDIAN INS CO,24775,FOREIGN,74806258,50516066,24290192,18452
1480,ST PAUL MERCURY INS CO,24791,FOREIGN,331489487,210198948,121290539,1862514
1481,ST PAUL PROTECTIVE INS CO,19224,FOREIGN,513737446,290934968,222802478,806136
1482,ST PAUL SURPLUS LINES INS CO,30481,FOREIGN,648127522,455223562,192903960,1268604
1483,STANDARD FIRE INS CO,19070,FOREIGN,3679128192,2477306490,1201821702,257774177
1484,STANDARD GUAR INS CO,42986,FOREIGN,350741721,207429888,143311833,-117063
1485,STAR & SHIELD INS EXCH,13621,DOMESTIC,9853176,5672065,4181111,13288899
1486,STAR CAS INS CO,32387,DOMESTIC,11939470,7896435,4043035,8306470
1487,STAR INS CO,18023,FOREIGN,1915390185,1407064678,508325507,13171230
1488,STARNET INS CO,40045,FOREIGN,239217622,122770485,116447137,10677819
1489,STARR IND & LIAB CO,38318,FOREIGN,4442324605,2519862213,1922462392,78598727
1490,STARR SURPLUS LINES INS CO,13604,FOREIGN,375974854,261625637,114349217,26215125
1491,STARSTONE NATL INS CO,25496,FOREIGN,379303636,285168842,94134794,17134916
1492,STARSTONE SPECIALTY INS CO,44776,FOREIGN,189962219,80542722,109419497,10049821
1493,STATE AUTO PROP & CAS INS CO,25127,FOREIGN,2482632411,1800108241,682524170,225885
1494,STATE AUTOMOBILE MUT INS CO,25135,FOREIGN,2461059714,1638507472,822552242,210132
1495,STATE FARM FIRE & CAS CO,25143,FOREIGN,38352517909,21997797052,16354720857,63556420
1496,STATE FARM FL INS CO,10739,DOMESTIC,2096020078,1012363521,1083656557,669924873
1497,STATE FARM GEN INS CO,25151,FOREIGN,7112139093,3036113537,4076025556,700
1498,STATE FARM MUT AUTO INS CO,25178,FOREIGN,147697211254,60123313999,87573897256,2836299604
1499,STATE NATL INS CO INC,12831,FOREIGN,369721367,100306255,269415112,60205712
1500,STATES SELF INSURERS RRG,44075,FOREIGN,26371557,17668124,8703433,0
1501,STEADFAST INS CO,26387,FOREIGN,605929847,107184904,498744942,58559677
1502,STICO MUT INS CO RRG,10476,FOREIGN,22215976,10350342,11865636,41416
1503,STILLWATER INS CO,25180,FOREIGN,363054749,177047061,186007688,3830372
1504,STILLWATER PROP & CAS INS CO,16578,FOREIGN,128338636,7937790,120400846,13413964
1505,STONINGTON INS CO,10340,FOREIGN,15263646,1053156,14210490,564839
1506,STRATFORD INS CO,40436,FOREIGN,145642558,60811817,84830741,672420
1507,SU INS CO,10130,FOREIGN,23214271,10351490,12862781,0
1508,SUECIA INS CO,39187,FOREIGN,45735816,24138419,21597397,0
1509,SUN SURETY INS CO,10909,FOREIGN,20383416,10554593,9828823,439245
1510,SUNLAND RRG INC,14026,FOREIGN,4150598,2856693,1293905,1364547
1511,SUNZ INS CO,34762,DOMESTIC,125755599,105492820,20262779,21263487
1512,SURETEC INS CO,10916,FOREIGN,227898290,133403503,94494787,2306665
1513,SUSSEX INS CO,12157,FOREIGN,658714857,527997581,130717276,4338800
1514,SWISS REINS AMER CORP,25364,FOREIGN,12927241287,9574945393,3352295894,0
1515,SYNERGY INS CO,12773,FOREIGN,62709608,39608591,23101017,43130
1516,T H E INS CO,12866,FOREIGN,204936112,152638466,52297645,12242080
1517,TDC SPECIALTY INS CO,34487,FOREIGN,78170796,25578148,52592648,737309
1518,TEACHERS INS CO,22683,FOREIGN,347723585,196621926,151101659,2412323
1519,TECHNOLOGY INS CO INC,42376,FOREIGN,2349954235,1772833492,577120743,141026564
1520,TERRA INS CO RRG,10113,FOREIGN,29801692,11471870,18329822,0
1521,TERRAFIRMA RRG LLC,14395,FOREIGN,6486613,1840859,4645754,7937
1522,TEXAS FARMERS INS CO,21695,FOREIGN,320466065,232895407,87570658,0
1523,TEXAS MEDICAL INS CO,10393,FOREIGN,54284596,22198447,32086149,0
1524,THE BAR PLAN MUT INS CO,29513,FOREIGN,43597382,26036065,17561317,48276
1525,THE CINCINNATI CAS CO,28665,FOREIGN,408281041,48382266,359898775,645259
1526,THE CINCINNATI IND CO,23280,FOREIGN,130336161,37156801,93179360,24012076
1527,THE CINCINNATI INS CO,10677,FOREIGN,12092696643,7406735128,4685961515,38162170
1528,THE CINCINNATI SPECIALTY UNDERWRITER,13037,FOREIGN,719228554,347126984,372101570,8179304
1529,THE DOCTORS CO RRG A RECIP EXCH,14347,FOREIGN,8346862,4576287,3770575,666072
1530,THE HLTHCARE UNDERWRITING CO RRG,10152,FOREIGN,139425488,115974977,23450511,35154698
1531,THE NATL CATHOLIC RRG INC,10083,FOREIGN,66947057,51490557,15456500,0
1532,THE TRAVELERS CAS CO,41769,FOREIGN,204879937,142606691,62273246,0
1533,TIG INS CO,25534,FOREIGN,2818449339,2082482617,735966722,130114
1534,TITAN IND CO,13242,FOREIGN,215662820,69934644,145728176,4239385
1535,TITAN INS CO,36269,FOREIGN,111127457,9645035,101482422,1089572
1536,TITLE INDUSTRY ASSUR CO RRG,10084,FOREIGN,7060919,2081155,4979764,180895
1537,TNUS INS CO,32301,FOREIGN,65195385,8616300,56579085,186316
1538,TOA RE INS CO OF AMER,42439,FOREIGN,1775216740,1105949491,669267249,0
1539,TOKIO MARINE AMER INS CO,10945,FOREIGN,1444630947,905329553,539301394,19625395
1540,TOKIO MARINE SPECIALTY INS CO,23850,FOREIGN,569892225,372290708,197601518,11407448
1541,TOKIO MILLENNIUM RE AG (US BRANCH),15529,FOREIGN,1011744661,816995250,194749411,0
1542,TOPA INS CO,18031,FOREIGN,184062357,105376415,78685942,69465
1543,TOWER HILL PREFERRED INS CO,29050,DOMESTIC,100543727,53064618,47479109,137497869
1544,TOWER HILL PRIME INS CO,11027,DOMESTIC,186984087,96023655,90960432,281368393
1545,TOWER HILL SELECT INS CO,12011,DOMESTIC,77426079,47337921,30088158,105388064
1546,TOWER HILL SIGNATURE INS CO,12538,DOMESTIC,121150579,76994042,44156537,135487083
1547,TOYOTA MOTOR INS CO,37621,FOREIGN,518572411,271721971,246850440,15471398
1548,TRADERS INS CO,42749,FOREIGN,71076738,48143273,22933465,0
1549,TRANS PACIFIC INS CO,41238,FOREIGN,70963497,18270186,52693312,1401472
1550,TRANSAMERICA CAS INS CO,10952,FOREIGN,395516234,216007543,179508691,35224540
1551,TRANSATLANTIC REINS CO,19453,FOREIGN,14019363965,9110655180,4908708785,0
