,"AUTHORIZED FLORIDA INSURER FINANCIAL ABSTRACTS, BY NAIC STATEMENT TYPE",CALENDAR YEAR 2016,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6
0,COMPANY,NAIC,DOMICILE,Net Admitted Assests($),Liabilities($),Capital and Surplus($),Florida Direct Premiums Written($)
1,"FRATERNAL,  TOTAL FLORIDA DIRECT PREMIUMS WRITTEN: $409,269,163",,,,,,
2,ASSURED LIFE ASSN,56499,FOREIGN,58565916,45813376,12752540,268191
3,BAPTIST LIFE ASSN,57223,FOREIGN,30964206,29452804,1511402,37913
4,CATHOLIC ASSN OF FORESTERS,58130,FOREIGN,12838717,7134303,5704409,2546
5,CATHOLIC FINANCIAL LIFE,56030,FOREIGN,1417204685,1346420874,70783811,839281
6,CATHOLIC HOLY FAMILY SOCIETY,57770,FOREIGN,142172859,136651021,5521838,519819
7,CATHOLIC LIFE INS,57347,FOREIGN,1153734920,1066676175,87058745,10975
8,CATHOLIC ORDER OF FORESTERS,57487,FOREIGN,1140023815,1058224556,81799259,904497
9,CROATIAN FRATERNAL UNION OF AMER,56634,FOREIGN,474311465,433437038,40874427,43555
10,CSA FRATERNAL LIFE,56138,FOREIGN,139796326,136250624,3545701,657316
11,EVERENCE ASSN INC,57991,FOREIGN,439075828,331006099,108069729,1423427
12,FIRST CATH SLOVAK LADIES ASSN USA,56332,FOREIGN,866267376,766876843,99390534,358347
13,FIRST CATH SLOVAK UNION OF US & CN,56340,FOREIGN,382380128,354280731,28099397,542039
14,GBU FINANCIAL LIFE,56685,FOREIGN,2192369095,2038293966,154075129,10922388
15,GCU,56693,FOREIGN,1549960643,1441428668,108531975,8250358
16,GLEANER LIFE INS SOCIETY,56154,FOREIGN,1317259971,1226480928,90779043,3493459
17,INDEPENDENT ORDER OF FORESTERS US BR,58068,ALIEN,3154451812,2909752580,244699232,40373924
18,KNIGHTS OF COLUMBUS,58033,FOREIGN,23626969334,21679450353,1947518981,81975060
19,LOYAL CHRISTIAN BENEFIT ASSN,56758,FOREIGN,185373374,181832550,3540824,207855
20,MODERN WOODMEN OF AMER,57541,FOREIGN,15401301492,13768518993,1632782498,39517372
21,NATIONAL SLOVAK SOCIETY OF THE USA,56782,FOREIGN,1025532480,981969406,43563074,8303371
22,ORDER OF UNITED COMMERCIAL TRAVELERS,56383,FOREIGN,16890516,7479379,9411137,2943036
23,POLISH NATL ALLIANCE US OF NA,57622,FOREIGN,435950678,416534764,19415914,120591
24,POLISH NATL UNION OF AMER,56839,FOREIGN,26722819,25820251,902568,4770
25,POLISH ROMAN CATHOLIC UNION OF AMER,57630,FOREIGN,201573919,193865266,7708653,594190
26,POLISH WOMENS ALLIANCE OF AMER,57649,FOREIGN,51899831,52868493,-968662,0
27,ROYAL NEIGHBORS OF AMER,57657,FOREIGN,979305939,790204086,189101855,9420279
28,SERB NATL FEDERATION,56936,FOREIGN,42181631,39233505,2948125,0
29,SLOVENE NATL BENEFIT SOCIETY,57673,FOREIGN,208816849,202628358,6188490,18052
30,SONS OF NORWAY,57142,FOREIGN,363901744,348886232,15015512,651536
31,SUPREME COUNCIL THE ROYAL ARCANUM,58181,FOREIGN,109423179,97328093,12095086,106979
32,THRIVENT FINANCIAL FOR LUTHERANS,56014,FOREIGN,84833536268,77107922344,7725613924,151420619
33,TRAVELERS PROTECTIVE ASSN OF AMER,56006,FOREIGN,14890892,1846605,13044286,1227
34,UKRAINIAN NATL ASSN INC,57215,FOREIGN,188568492,179232628,9335863,988508
35,UNITED STATES LETTER CARRIERS MUT BE,56456,FOREIGN,243945102,212989167,30955935,974389
36,WILLIAM PENN ASSN,57010,FOREIGN,411862799,384364125,27498675,9400680
37,WOMANS LIFE INS SOCIETY,56170,FOREIGN,203593650,182034893,21558757,139189
38,WOODMEN WORLD LIFE INS SOC,57320,FOREIGN,10846690311,9576454552,1270235759,33793011
39,WORKMENS BENEFIT FUND OF THE USA,57290,FOREIGN,33846428,32797371,1049057,40414
40,"HEALTH,  TOTAL FLORIDA DIRECT PREMIUMS WRITTEN: $53,430,428,088",,,,,,
41,ACCENDO INS CO,63444,FOREIGN,13685092,4097829,9587263,0
42,ADVANTICA INS CO,12278,FOREIGN,7020952,670473,6350479,3881987
43,AETNA HLTH INC FL CORP,95088,DOMESTIC,541207253,291446212,249761041,1970416380
44,AETNA HLTH INS CO,72052,FOREIGN,43106530,8344333,34762197,0
45,AIDS HLTHCARE FOUND MCO OF FL INC,12973,DOMESTIC,37926209,30858476,7067733,122006489
46,AMERICAN SPECIALTY HLTH INS CO,84697,FOREIGN,9540985,1126166,8414819,0
47,AMERIGROUP FL INC,95093,DOMESTIC,229044170,142914507,86129663,1431822517
48,AMFIRST INS CO,60250,FOREIGN,52509624,7182412,45327212,62968
49,AVMED INC,95263,DOMESTIC,281059358,199373831,81685527,967519314
50,BANKERS RESERVE LIFE INS CO OF WI,71013,FOREIGN,410427048,186734848,223692201,0
51,BCBS OF FL,98167,DOMESTIC,5974580412,3702838262,2271742150,9283694217
52,BEHEALTHY FLORIDA INC,15118,DOMESTIC,16645317,5681629,10963689,23290614
53,BETTER HLTH INC,15480,DOMESTIC,72751415,41836668,30914747,322105018
54,BUPA INS CO,81647,DOMESTIC,320005130,167046555,152958575,3067
55,CAPITAL HLTH PLAN INC,95112,DOMESTIC,489865714,118862879,371002835,764555243
56,CARE IMPROVEMENT PLUS S CENTRAL INS,12567,FOREIGN,1029490809,606426571,423064238,7782734
57,CAREPLUS HLTH PLANS INC,95092,DOMESTIC,405644761,250969141,154675620,1721376352
58,CELTIC INS CO,80799,FOREIGN,593029861,539777964,53251897,264553842
59,CIGNA DENTAL HLTH OF FL INC,52021,DOMESTIC,7745743,2840418,4905325,32835114
60,CIGNA HLTHCARE OF FL INC,95136,DOMESTIC,4151088,382407,3768681,981413
61,CLOVER INS CO,86371,FOREIGN,189016904,121087567,67929336,3654
62,COMPBENEFITS CO,52015,DOMESTIC,25519710,11955908,13563802,108049701
63,COMPBENEFITS INS CO,60984,FOREIGN,37880349,7202513,30677836,52233576
64,COVENTRY HLTH & LIFE INS CO,81973,FOREIGN,1512484475,367156683,1145327792,3372120
65,COVENTRY HLTH CARE OF FL INC,95114,DOMESTIC,547748582,352127607,195620975,1380255176
66,COVENTRY HLTH PLAN OF FL INC,95266,DOMESTIC,56195148,16328412,39866736,-53042
67,DELTA DENTAL INS CO,81396,FOREIGN,254433443,132963093,121470350,239578506
68,DENTAL BENEFIT PROVIDERS OF IL INC,52053,FOREIGN,4123839,1076534,3047305,1976123
69,DENTEGRA INS CO,73474,FOREIGN,84451705,40979883,43471822,139054
70,EDUCATORS HLTH PLANS LIFE ACCIDENT &,12515,FOREIGN,36014460,18089286,17925174,0
71,ENVISION INS CO,12747,FOREIGN,309925001,260335335,49589666,5113507
72,FLORIDA HLTH CARE PLAN INC,13567,DOMESTIC,166371638,78944415,87427223,430584907
73,FLORIDA HLTH SOLUTION HMO CO,15634,DOMESTIC,3816035,615166,3200869,8436
74,FLORIDA MHS INC,14447,DOMESTIC,177464452,101389345,76075108,546845083
75,FLORIDA TRUE HLTH INC,14378,DOMESTIC,219210013,124020580,95189433,1102822771
76,FREEDOM HLTH INC,10119,DOMESTIC,165473019,133230583,32242436,871338683
77,FRESENIUS HLTH   PLANS INS CO,85286,FOREIGN,30913050,15160044,15753006,3516
78,GROUP DENTAL SERV OF MD INC,95846,FOREIGN,14575279,1746346,12828933,0
79,HARKEN HLTH INS CO,79480,FOREIGN,112518385,71794476,40723909,0
80,HCSC INS SERV CO,78611,FOREIGN,581525169,391685369,189839800,0
81,HEALTH CARE SERV CORP A MUT LEGAL RE,70670,FOREIGN,18036100777,8500156003,9535944774,132848066
82,HEALTH FIRST COMMERCIAL PLANS INC,15882,DOMESTIC,31872603,12735643,19136960,72758621
83,HEALTH FIRST HLTH PLANS INC,15880,DOMESTIC,130756525,60153322,70603203,446432897
84,HEALTH FIRST INS INC,14140,DOMESTIC,6030280,1378373,4651907,5034712
85,HEALTH OPTIONS INC,95089,DOMESTIC,879774982,467788414,411986568,2590016547
86,HEALTH SUN HLTH PLANS,10122,DOMESTIC,134768968,104857457,29911511,709048918
87,HEALTHSPRING LIFE & HLTH INS CO INC,12902,FOREIGN,602829479,322626324,280203155,-6
88,HEALTHSPRING OF FL INC,11532,DOMESTIC,156979150,67516746,89462404,860573305
89,HEALTHY PALM BEACHES INC,95827,DOMESTIC,2977911,74400,2903511,0
90,HUMANA HLTH INS CO OF FL INC,69671,DOMESTIC,107257171,54679642,52577529,205960911
91,HUMANA INS CO,73288,FOREIGN,6870620723,2645881401,4224739322,1610564375
92,HUMANA MEDICAL PLAN INC,95270,DOMESTIC,1939005705,1170525788,768479917,8080532751
93,HUMANADENTAL INS CO,70580,FOREIGN,111087918,41243855,69844063,517186
94,MAGNA INS CO,61018,FOREIGN,2712132,312402,2399730,0
95,MEDCO CONTAINMENT LIFE INS CO,63762,FOREIGN,1688976561,1226431923,462544638,15055935
96,MEDICA HLTH PLANS OF FL INC,12756,DOMESTIC,4452951,53951,4399000,-1009
97,MEDICA HLTHCARE PLANS INC,12155,DOMESTIC,139561336,78156213,61405123,534906720
98,MOLINA HLTHCARE OF FL INC,13128,DOMESTIC,802936721,602927700,200009021,1944738940
99,NEIGHBORHOOD HLTH PARTNERSHIP INC,95123,DOMESTIC,149027359,88848393,60178966,578723990
100,OPTIMUM HLTHCARE INC,12259,DOMESTIC,112528873,81995250,30533623,530006273
101,PENNSYLVANIA LIFE INS CO,67660,FOREIGN,53981435,23444934,30536501,1184606
102,PREFERRED CARE PARTNERS INC,11176,DOMESTIC,325045030,242388022,82657008,1487118238
103,QCC INS CO,93688,FOREIGN,1157626785,756578719,401048066,0
104,RENAISSANCE LIFE & HLTH INS CO OF AM,61700,FOREIGN,86509446,20882436,65627010,6959571
105,SAFEGUARD HLTH PLANS INC,52009,DOMESTIC,9385437,1381399,8004038,18025330
106,SAFEHEALTH LIFE INS CO,79014,FOREIGN,12220375,29073,12191302,214961
107,SENIORDENT DENTAL PLAN INC,13211,FOREIGN,412487,3630,408857,90
108,SIERRA HLTH & LIFE INS CO INC,71420,FOREIGN,2396904112,1219484542,1177419570,68217398
109,SILVERSCRIPT INS CO,12575,FOREIGN,2823572736,2024409956,799162780,154127676
110,SIMPLY HLTHCARE PLANS INC,13726,DOMESTIC,293971394,180576650,113394744,1230056168
111,SMART INS CO,80055,FOREIGN,24070530,364269,23706261,0
112,SOLSTICE BENEFITS INC,12341,DOMESTIC,2572845,2389314,183531,8872483
113,SUNSHINE HLTH COMM SOLUTIONS INC,15927,DOMESTIC,19061270,711418,18349852,0
114,SUNSHINE STATE HLTH PLAN INC,13148,DOMESTIC,676498315,318639304,357859011,3646007818
115,SYMPHONIX HLTH INS INC,84549,FOREIGN,531560641,472414347,59146294,296407
116,THE DENTAL CONCERN INC,54739,FOREIGN,10901205,3240654,7660551,31926
117,TRUASSURE INS CO,92525,FOREIGN,7150880,1168171,5982709,336982
118,TUFTS INS CO INC,60117,FOREIGN,101583097,50893416,50689682,371080
119,ULTIMATE HLTH PLANS INC,14243,DOMESTIC,12819349,6367497,6451852,52037416
120,UNITED CONCORDIA INS CO,85766,FOREIGN,62234481,26823916,35410565,14079900
121,UNITED HLTHCARE OF FL INC,95264,DOMESTIC,792670805,443991839,348678966,3005613023
122,VISION SERV PLAN INS CO,32395,FOREIGN,75481753,41188660,34293093,57140345
123,WELLCARE HLTH INS OF AZ INC,83445,FOREIGN,223862659,126417468,97445191,0
124,WELLCARE OF FL INC,95081,DOMESTIC,688937468,518155815,170781653,3679723666
125,WELLCARE PRESCRIPTION INS INC,10155,DOMESTIC,852868255,643415202,209453053,23134832
126,"LIFE, ACCIDENT AND HEALTH,  TOTAL FLORIDA DIRECT PREMIUMS WRITTEN: $46,497,110,896",,,,,,
127,4 EVER LIFE INS CO,80985,FOREIGN,207497489,124867113,82630376,5660224
128,5 STAR LIFE INS CO,77879,FOREIGN,286577159,246412422,40164737,12208321
129,AAA LIFE INS CO,71854,FOREIGN,629205776,476475065,152730712,73678218
130,ABILITY INS CO,71471,FOREIGN,1203362547,1181945137,21417410,1874122
131,ACCORDIA LIFE & ANN CO,62200,FOREIGN,8041033190,7375331617,665701573,35207947
132,ACE LIFE INS CO,60348,FOREIGN,51706821,43036875,8669946,0
133,AETNA HLTH & LIFE INS CO,78700,FOREIGN,2388618145,2106080750,282537396,403465
134,AETNA LIFE INS CO,60054,FOREIGN,22376187164,18896985246,3479201918,1335861168
135,ALFA LIFE INS CORP,79049,FOREIGN,1375463564,1125979821,249483743,2019
136,ALL SAVERS INS CO,82406,FOREIGN,1551506002,497349939,1054156063,16953260
137,ALLIANZ LIFE INS CO OF N AMER,90611,FOREIGN,127557707794,121392428356,6165279438,1000809828
138,ALLSTATE ASSUR CO,70866,FOREIGN,716711385,582797788,133913598,5584383
139,ALLSTATE LIFE INS CO,60186,FOREIGN,32126975801,29080360147,3046615654,36556862
140,AMALGAMATED LIFE INS CO,60216,FOREIGN,122944427,65155013,57789414,286400
141,AMERICAN AMICABLE LIFE INS CO OF TX,68594,FOREIGN,273037633,228561510,44476123,8125697
142,AMERICAN BANKERS LIFE ASSUR CO OF FL,60275,DOMESTIC,378701171,324025000,54676171,6571708
143,AMERICAN CONTINENTAL INS CO,12321,FOREIGN,228967524,134987089,93980435,5442487
144,AMERICAN EQUITY INVEST LIFE INS CO,92738,FOREIGN,47580206852,44853543281,2726663571,510085056
145,AMERICAN FAMILY LIFE ASSUR CO OF COL,60380,FOREIGN,108871354819,97650299555,11221055264,335876329
146,AMERICAN FAMILY LIFE INS CO,60399,FOREIGN,5497452570,4496092136,1001360434,2147211
147,AMERICAN FIDELITY ASSUR CO,60410,FOREIGN,5446761028,5032158571,414602457,22038225
148,AMERICAN FIDELITY LIFE INS CO,60429,DOMESTIC,422530682,353606095,68924587,853656
149,AMERICAN GEN LIFE INS CO,60488,FOREIGN,170849934111,161849414166,9000519945,1211461209
150,AMERICAN HERITAGE LIFE INS CO,60534,DOMESTIC,1885615762,1541300602,344315160,123583868
151,AMERICAN HLTH & LIFE INS CO,60518,FOREIGN,924203272,709065266,215138006,5189627
152,AMERICAN HOME LIFE INS CO,60542,FOREIGN,254438346,232986616,21451730,296532
153,AMERICAN INCOME LIFE INS CO,60577,FOREIGN,3385202219,3116355044,268847175,39715409
154,AMERICAN MATURITY LIFE INS CO,81213,FOREIGN,60601086,12541306,48059780,25003
155,AMERICAN MEMORIAL LIFE INS CO,67989,FOREIGN,2962103234,2846652730,115450504,21463287
156,AMERICAN MODERN LIFE INS CO,65811,FOREIGN,44677379,14149605,30527774,0
157,AMERICAN NATL INS CO,60739,FOREIGN,18721092181,15735183280,2985908901,159665522
158,AMERICAN NATL LIFE INS CO OF TX,71773,FOREIGN,122523153,87351585,35171568,508587
159,AMERICAN PUBLIC LIFE INS CO,60801,FOREIGN,90286515,63872774,26413741,25479503
160,AMERICAN REPUBLIC INS CO,60836,FOREIGN,937566473,426454321,511112152,1957704
161,AMERICAN RETIREMENT LIFE INS CO,88366,FOREIGN,76891577,36237748,40653829,6342788
162,AMERICAN UNITED LIFE INS CO,60895,FOREIGN,24931829175,23971375868,960453307,125059132
163,AMERICO FIN LIFE & ANN INS CO,61999,FOREIGN,4281919166,3820145853,461773313,41197441
164,AMERITAS LIFE INS CORP,61301,FOREIGN,18696585738,17212519710,1484066028,106843081
165,AMICA LIFE INS CO,72222,FOREIGN,1240659713,961838404,278821309,5022491
166,ANNUITY INVESTORS LIFE INS CO,93661,FOREIGN,3063427349,2793980214,269447135,24117815
167,ANTHEM LIFE INS CO,61069,FOREIGN,623258714,514374134,108884580,920583
168,ASSURITY LIFE INS CO,71439,FOREIGN,2605020410,2280110234,324910180,7844396
169,ATHENE ANN & LIFE ASSUR CO OF NY,68039,FOREIGN,3261234878,3030197485,231037393,1415406
170,ATHENE ANN & LIFE CO,61689,FOREIGN,47984664271,46871325228,1113339043,521707621
171,ATHENE ANNUITY & LIFE ASSUR CO,61492,FOREIGN,10350656536,9078236580,1272419957,5394068
172,ATHENE LIFE INS CO OF NY,63932,FOREIGN,956111175,877814720,78296455,3367071
173,ATLANTA LIFE INS CO,61093,FOREIGN,46819250,32358300,14460950,56872
174,ATLANTIC COAST LIFE INS CO,61115,FOREIGN,348552698,326658464,21894234,51015487
175,AURORA NATL LIFE ASSUR CO,61182,FOREIGN,2935377178,2808845950,126531228,1401853
176,AUTO CLUB LIFE INS CO,84522,FOREIGN,705178802,622890732,82288070,156109
177,AUTO OWNERS LIFE INS CO,61190,FOREIGN,3897931643,3474743615,423188028,14057514
178,AXA EQUITABLE LIFE & ANN CO,62880,FOREIGN,467322099,447560219,19761880,1325289
179,AXA EQUITABLE LIFE INS CO,62944,FOREIGN,174067923580,169221225388,4846698192,945422107
180,BALTIMORE LIFE INS CO,61212,FOREIGN,1241746363,1160413079,81333284,11702131
181,BANKERS FIDELITY ASSUR CO,71919,FOREIGN,9970722,899673,9071049,12905
182,BANKERS FIDELITY LIFE INS CO,61239,FOREIGN,144259181,110828948,33430233,1945738
183,BANKERS LIFE & CAS CO,61263,FOREIGN,17602022841,16301679860,1300342981,220678899
184,BANKERS LIFE INS CO,81043,FOREIGN,447366520,419988490,27378031,10172235
185,BANNER LIFE INS CO,94250,FOREIGN,2881946378,2400262561,481683817,292131553
186,BENEFICIAL LIFE INS CO,61395,FOREIGN,2298442267,2121079452,177362815,296270
187,BERKLEY LIFE & HLTH INS CO,64890,FOREIGN,267746003,124013556,143732448,7668453
188,BERKSHIRE HATHAWAY LIFE INS CO NE,62345,FOREIGN,17969607195,13571182333,4398424862,0
189,BERKSHIRE LIFE INS CO OF AMER,71714,FOREIGN,3526660056,3325021259,201638797,30864451
190,BEST LIFE & HLTH INS CO,90638,FOREIGN,18783254,3903776,14879478,213133
191,BEST MERIDIAN INS CO,63886,DOMESTIC,317191802,260653424,56538378,768799
192,BOSTON MUT LIFE INS CO,61476,FOREIGN,1359711894,1181717961,177993933,5931980
193,BRIGHTHOUSE LIFE INS CO,87726,FOREIGN,170909597066,166535146912,4374450154,683784687
194,CENTRAL SECURITY LIFE INS CO,61735,FOREIGN,91914212,87254368,4659848,11221
195,CENTRAL STATES H & L CO OF OMAHA,61751,FOREIGN,420020957,285759848,134261109,5937242
196,CENTRE LIFE INS CO,80896,FOREIGN,1809799993,1715994039,93805954,547541
197,CENTURION LIFE INS CO,62383,FOREIGN,1288219897,970488248,317731649,0
198,CHESAPEAKE LIFE INS CO,61832,FOREIGN,133324319,63604245,69720074,13908291
199,CHRISTIAN FIDELITY LIFE INS CO,61859,FOREIGN,63906258,35894857,28011401,153082
200,CHURCH LIFE INS CORP,61875,FOREIGN,297068432,240407769,56660663,3347472
201,CIGNA HLTH & LIFE INS CO,67369,FOREIGN,7410885968,4020792613,3390093355,1018928435
202,CITIZENS NATL LIFE INS CO,82082,FOREIGN,12431294,10309110,2122184,2833
203,CITIZENS SECURITY LIFE INS CO,61921,FOREIGN,24011079,9568755,14442324,594147
204,CM LIFE INS CO,93432,FOREIGN,8462232355,6915558560,1546673795,44326741
205,CMFG LIFE INS CO,62626,FOREIGN,16573511521,14570841641,2002669880,118202300
206,COLONIAL LIFE & ACCIDENT INS CO,62049,FOREIGN,3143855416,2581723297,562132118,130849825
207,COLONIAL PENN LIFE INS CO,62065,FOREIGN,854721105,758896015,95825090,79791726
208,COLORADO BANKERS LIFE INS CO,84786,FOREIGN,354054276,295565643,58488633,5340260
209,COLUMBIAN LIFE INS CO,76023,FOREIGN,319555861,292710097,26845764,13783273
210,COLUMBIAN MUT LIFE INS CO,62103,FOREIGN,1397979855,1301766800,96213055,2057279
211,COLUMBUS LIFE INS CO,99937,FOREIGN,3769165449,3479109702,290055747,24451679
212,COMBINED INS CO OF AMER,62146,FOREIGN,1432051226,1300554350,131496876,35171551
213,COMMERCIAL TRAVELERS LIFE INS CO,81426,FOREIGN,16561397,11647270,4914127,41978
214,COMMONWEALTH ANN & LIFE INS CO,84824,FOREIGN,11379079563,9223464204,2155615359,7690877
215,COMPANION LIFE INS CO,77828,FOREIGN,338691623,152448127,186243496,10834440
216,CONNECTICUT GEN LIFE INS CO,62308,FOREIGN,17646348971,13571962128,4074386843,147899688
217,CONSTITUTION LIFE INS CO,62359,FOREIGN,444069569,388511017,55558552,33535162
218,CONTINENTAL AMER INS CO,71730,FOREIGN,607026336,432670787,174355549,29109804
219,CONTINENTAL GEN INS CO,71404,FOREIGN,1344137118,1267225359,76911759,15841793
220,CONTINENTAL LIFE INS CO BRENTWOOD,68500,FOREIGN,307080148,133249663,173830485,9465199
221,CORVESTA LIFE INS CO,78301,FOREIGN,9314494,1237651,8076843,0
222,COTTON STATES LIFE INS CO,62537,FOREIGN,336156392,267852623,68303769,2941376
223,COUNTRY INVESTORS LIFE ASSUR CO,94218,FOREIGN,297281220,108361516,188919703,1578134
224,COUNTRY LIFE INS CO,62553,FOREIGN,9170467553,8031807192,1138660362,3811807
225,CSI LIFE INS CO,82880,FOREIGN,19748305,5862456,13885844,20533
226,DEARBORN NATL LIFE INS CO,71129,FOREIGN,1872506789,1375474730,497032059,2337326
227,DELAWARE AMER LIFE INS CO,62634,FOREIGN,132754580,60204974,72549606,302142
228,DELAWARE LIFE INS CO,79065,FOREIGN,37683973521,36048076193,1635897328,84231886
229,DIRECT GEN LIFE INS CO,97705,FOREIGN,25525998,10411478,15114520,6050228
230,EAGLE LIFE INS CO,13183,FOREIGN,527620587,361012989,166607598,177116048
231,EDUCATORS LIFE INS CO OF AMER,62790,FOREIGN,467090102,17769369,449320732,0
232,ELCO MUT LIFE & ANN,84174,FOREIGN,704022769,652592401,51430364,27406636
233,EMC NATL LIFE CO,62928,FOREIGN,947884563,843906169,103978394,681869
234,EMPLOYERS REASSUR CORP,68276,FOREIGN,11334914873,10356529683,978385190,0
235,EPIC LIFE INS CO,64149,FOREIGN,46203215,31625503,14577712,0
236,EQUITABLE LIFE & CAS INS CO,62952,FOREIGN,313614537,268837242,44777295,759746
237,EQUITRUST LIFE INS CO,62510,FOREIGN,17268012692,16336402283,931610409,162758085
238,FAMILY HERITAGE LIFE INS CO OF AMER,77968,FOREIGN,1108816313,1004588622,104227691,3999765
239,FAMILY LIFE INS CO,63053,FOREIGN,155846617,121888470,33958147,3765306
240,FAMILY SERV LIFE INS CO,74004,FOREIGN,326401662,291762683,34638980,864
241,FARMERS NEW WORLD LIFE INS CO,63177,FOREIGN,7155345025,6627643258,527701767,4366031
242,FEDERAL LIFE INS CO,63223,FOREIGN,227519338,212803141,14716197,1268142
243,FEDERATED LIFE INS CO,63258,FOREIGN,1776836190,1417027730,359808460,7299667
244,FIDELITY & GUAR LIFE INS CO,63274,FOREIGN,21414228593,20091179642,1323048951,237032075
245,FIDELITY INVESTMENTS LIFE INS CO,93696,FOREIGN,25859639234,25029616726,830022508,142859372
246,FIDELITY LIFE ASSN A LEGAL RESERVE L,63290,FOREIGN,405013708,272788478,132225230,10554613
247,FIDELITY SECURITY LIFE INS CO,71870,FOREIGN,875125453,688279022,186846430,40176552
248,FINANCIAL AMER LIFE INS CO,71455,FOREIGN,6679013,4846438,1832578,-64
249,FIRST ALLMERICA FIN LIFE INS CO,69140,FOREIGN,3435046095,3250281065,184765030,1732948
250,FIRST CONTINENTAL LIFE & ACC,64696,FOREIGN,5308977,1805766,3503211,0
251,FIRST HLTH LIFE & HLTH INS CO,90328,FOREIGN,454919549,243832745,211086804,46710540
252,FIRST PENN PACIFIC LIFE INS CO,67652,FOREIGN,1578933080,1377231161,201701919,6328473
253,FLORIDA COMBINED LIFE INS CO INC,76031,DOMESTIC,50732689,21801354,28931335,123594811
254,FORESTERS LIFE INS ANN CO,63495,FOREIGN,2142196577,2082076324,60120253,8474155
255,FORETHOUGHT LIFE INS CO,91642,FOREIGN,24910992470,23278823264,1632169205,556869782
256,FREEDOM LIFE INS CO OF AMER,62324,FOREIGN,100221058,49073112,51147946,50510620
257,FUNERAL DIRECTORS LIFE INS CO,99775,FOREIGN,1248024468,1137599976,110424492,1450818
258,GARDEN STATE LIFE INS CO,63657,FOREIGN,129627852,60456326,69171526,2070545
259,GENERAL AMER LIFE INS CO,63665,FOREIGN,12411528606,11488782534,922746072,22879546
260,GENERAL FIDELITY LIFE INS CO,93521,FOREIGN,24525585,8074702,16450883,0
261,GENERAL RE LIFE CORP,86258,FOREIGN,3504636486,2860368459,644268027,0
262,GENWORTH LIFE & ANN INS CO,65536,FOREIGN,22447754567,20960304007,1487450560,85000229
263,GENWORTH LIFE INS CO,70025,FOREIGN,40225791294,37072937544,3152853750,174584340
264,GENWORTH LIFE INS CO OF NY,72990,FOREIGN,8495549011,8014391326,481157685,11984514
265,GERBER LIFE INS CO,70939,FOREIGN,3397640374,3090662883,306977491,48054312
266,GLOBE LIFE & ACCIDENT INS CO,91472,FOREIGN,3955340023,3694721881,260618142,54496252
267,GOLDEN RULE INS CO,62286,FOREIGN,529488173,359437760,170050413,240676665
268,GOVERNMENT PERSONNEL MUT LIFE INS CO,63967,FOREIGN,835139443,714259111,120880332,4701226
269,GREAT AMER LIFE INS CO,63312,FOREIGN,29301505746,27325096976,1976408770,353230546
270,GREAT SOUTHERN LIFE INS CO,90212,FOREIGN,216608302,169136013,47472289,3876016
271,GREAT W LIFE & ANN INS CO,68322,FOREIGN,56436024826,55382691600,1053333226,324987171
272,GREAT WESTERN INS CO,71480,FOREIGN,1214554018,1137433610,77120407,6748841
273,GUARANTEE TRUST LIFE INS CO,64211,FOREIGN,550718907,473712368,77006539,5529317
274,GUARANTY INCOME LIFE INS CO,64238,FOREIGN,503699716,452878014,50821702,3783948
275,GUARDIAN INS & ANN CO INC,78778,FOREIGN,16780860630,16520477827,260382803,119856421
276,GUARDIAN LIFE INS CO OF AMER,64246,FOREIGN,51883712174,45711224770,6172487404,511805022
277,GUGGENHEIM LIFE & ANN CO,83607,FOREIGN,13716199017,13065082189,651116828,50631756
278,HANNOVER LIFE REASSUR CO OF AMER,88340,DOMESTIC,14998510820,14667346299,331164521,0
279,HARLEYSVILLE LIFE INS CO,64327,FOREIGN,411847849,367605227,44242622,453943
280,HARTFORD LIFE & ACCIDENT INS CO,70815,FOREIGN,8785878300,7162028370,1623849930,145968276
281,HARTFORD LIFE & ANN INS CO,71153,FOREIGN,36793192089,34879433741,1913758348,80691698
282,HARTFORD LIFE INS CO,88072,FOREIGN,111449826857,107051918228,4397908629,292043175
283,HCC LIFE INS CO,92711,FOREIGN,981612046,379762638,601849408,24087317
284,HEALTH NET LIFE INS CO,66141,FOREIGN,727212204,317262163,409950041,0
285,HEARTLAND NATL LIFE INS CO,66214,FOREIGN,12201636,5128315,7073320,2548402
286,HERITAGE LIFE INS CO,64394,FOREIGN,4471995304,3488053294,983942010,0
287,HM LIFE INS CO,93440,FOREIGN,643307789,282569224,360738565,16597057
288,HOMESTEADERS LIFE CO,64505,FOREIGN,2771528463,2591044236,180484227,10703442
289,HORACE MANN LIFE INS CO,64513,FOREIGN,8845207345,8398193160,447014187,43070048
290,IA AMER LIFE INS CO,91693,FOREIGN,165435291,96262010,69173281,252573
291,IDEALIFE INS CO,97764,FOREIGN,20857847,5323447,15534400,398881
292,ILLINOIS MUT LIFE INS CO,64580,FOREIGN,1434323781,1208372635,225951146,7425748
293,INDEPENDENCE LIFE & ANN CO,64602,FOREIGN,3028041847,2845226259,182815588,0
294,INDIVIDUAL ASSUR CO LIFE HLTH & ACC,81779,FOREIGN,26210982,16914702,9296282,11466
295,INTEGRITY LIFE INS CO,74780,FOREIGN,7999573399,7191255211,808318188,108232302
296,INTRAMERICA LIFE INS CO,64831,FOREIGN,32256934,22229658,10027275,38959
